commodity,date,sentiment_positive_mean,sentiment_neutral_mean,sentiment_negative_mean,article_count,dominant_sentiment,sentiment_dispersion
Wheat,2016-04-27,0.3776489794254303,0.6129763126373291,0.0093746734783053,1,neutral,0.0
Wheat,2016-05-04,0.0380856841802597,0.0962112173438072,0.8657030463218689,1,negative,0.0
Wheat,2016-05-08,0.2701258659362793,0.6360897421836853,0.0937844142317771,1,neutral,0.0
Wheat,2016-05-21,0.0336452834308147,0.0831230878829956,0.883231520652771,1,negative,0.0
Wheat,2016-06-04,0.2703506648540497,0.6984847784042358,0.0311646126210689,2,neutral,0.0
Wheat,2016-06-25,0.0333742462098598,0.80142742395401,0.1651983708143234,1,neutral,0.0
Wheat,2016-07-30,0.0260766185820102,0.9266600012779236,0.04726342856884,1,neutral,0.0
Wheat,2016-08-01,0.034891914576292,0.913131833076477,0.0519762858748436,1,neutral,0.0
Wheat,2016-08-02,0.0619323784485459,0.2025089785456657,0.7355586290359497,2,negative,0.038809052668511895
Wheat,2016-08-08,0.0453801676630973,0.1290918290615081,0.8255280256271362,1,negative,0.0
Wheat,2016-08-13,0.9379549026489258,0.0252505764365196,0.0367945358157157,1,positive,0.0
Wheat,2016-09-29,0.0323854349553585,0.3185015022754669,0.6491130590438843,1,negative,0.0
Wheat,2016-10-17,0.0136259282007813,0.0536439679563045,0.9327300786972046,1,negative,0.0
Wheat,2016-11-04,0.08465363085269925,0.8146502077579498,0.10069616045802825,2,neutral,0.0012443885207176486
Wheat,2016-11-05,0.0531023927032947,0.9193987250328064,0.0274988524615764,1,neutral,0.0
Wheat,2016-11-07,0.0712902322411537,0.7417272329330444,0.1869825273752212,1,neutral,0.0
Wheat,2016-11-17,0.1187318637967109,0.0342844575643539,0.8469836115837097,1,negative,0.0
Wheat,2016-11-22,0.1972957998514175,0.7539244294166565,0.0487797521054744,1,neutral,0.0
Wheat,2016-12-18,0.0909044742584228,0.8955991268157959,0.0134963514283299,1,neutral,0.0
Wheat,2016-12-22,0.104420892894268,0.5810300707817078,0.3145490288734436,1,neutral,0.0
Wheat,2016-12-25,0.079404704272747,0.8912397623062134,0.0293555483222007,1,neutral,0.0
Wheat,2017-01-03,0.3573713302612304,0.4807639531791211,0.16186471469700334,2,neutral,0.31337821483612066
Wheat,2017-01-05,0.053223802708089296,0.4791359528899193,0.46764023043215264,2,neutral,0.0422238195315003
Wheat,2017-01-23,0.1321659237146377,0.8576363325119019,0.010197676718235,1,neutral,0.0
Wheat,2017-01-27,0.9462434649467468,0.0275932867079973,0.0261633023619651,1,positive,0.0
Wheat,2017-01-28,0.8259945511817932,0.0388419069349765,0.1351636350154876,1,positive,0.0
Wheat,2017-02-16,0.0488667748868465,0.9073472023010254,0.0437860675156116,1,neutral,0.0
Wheat,2017-02-28,0.099861092865467,0.8833613395690918,0.0167775228619575,1,neutral,0.0
Wheat,2017-03-05,0.0181310959160327,0.1748166233301162,0.8070523142814636,1,negative,0.0
Wheat,2017-03-07,0.0406846441328525,0.2749991118907928,0.6843162178993225,1,negative,0.0
Wheat,2017-03-10,0.0120113212615251,0.0286358501762151,0.9593528509140016,1,negative,0.0
